lemma	pos	semantic_tags
Ardmell	PROPN	Z3c
Ardrishaig	PROPN	Z2
Ardwick	PROPN	Z2
Argan	PROPN	Z3
Argentina	PROPN	Z2 Z3c
Argentine	NOUN	Z2/S2mf
Argentinean	PROPN	Z2/S2mf
Argentineans	PROPN	Z2/S2mf
Argentines	NOUN	Z2/S2mf
Argentinian	NOUN	Z2/S2mf
Argentinians	NOUN	Z2/S2mf
Argh	INTJ	Z4
Argo	PROPN	Z3c
Argos	PROPN	Z3c Z2
Argyle	PROPN	Z2
Argyll	PROPN	Z2 Z3c
Arian	ADJ	S5+
Ariel	PROPN	Z1mf
Aries	PROPN	S9 S9/S2mf
Aristotle	PROPN	Z1m
Arizona	PROPN	Z2 Z3c
Ark	PROPN	Z3c
Arlacino	PROPN	Z1m/K4 Z3c E4.1+/S2m
Arlecchino	PROPN	Z1m/K4 Z3c E4.1+/S2.2m
Arles	PROPN	F1 Z2/F1
Arlington	PROPN	Z2
Armada	NOUN	G3/M4
Armageddon	PROPN	A1.1.2
Armagnac	PROPN	F2
Armani	PROPN	Z1m Z3c
Armenia	PROPN	Z2
Armenian	NOUN	Z2/S2mf
Armenian	ADJ	Z2
Armenians	NOUN	Z2/S2mf
Armitage	PROPN	Z1mf Z3c
Armstrong	PROPN	Z1mf Z3c
Arndale	PROPN	Z2
Arndales	PROPN	Z3c
Arnley	PROPN	Z2
Arnold	PROPN	Z1mf
Aroma	NOUN	X3.1
Aromatherapy	NOUN	B3
Arr	PROPN	Z2
Arrad	PROPN	Z3
Arran	PROPN	Z2 Z1m
Arremanche	PROPN	Z2
Arrundel	PROPN	Z2
Arrundell	PROPN	Z2
Arrup	PROPN	Z3c Z1mf
Arrups	PROPN	Z3c
Arry	PROPN	Z1m
Arsonium	PROPN	O1.1
Artemide	PROPN	Z1m
Arthur	PROPN	Z1m
Artillery	PROPN	Z2
Artillery	NOUN	G3c
Artois	PROPN	Z1mf Z3c
Arundel	PROPN	Z2 Z3c
Arvon	PROPN	Z2
Asa	NOUN	L3
Asa	PROPN	Z1m
Asante	PROPN	Z2/S2mf
Ascots	PROPN	Z3c
Asda	PROPN	Z3c
Ashby-de-la-Zouche	PROPN	Z2
Ashdon	PROPN	Z2
Ashdown	PROPN	Z1mf
Ashfeld	PROPN	Z2
Ashfield	PROPN	Z2
Ashford	PROPN	Z2
Ashgate	PROPN	Z2
Ashington	PROPN	Z2 Z3c
Ashley	PROPN	Z1mf
Ashlington	PROPN	Z2
Ashridge	PROPN	Z2
