lemma	pos	semantic_tags
бесстрашие	S	E5+/S1.2
бесстрашный	A	E5+/S1.2
бесстыдник	S	G2.2-/S2.2m S1.2.4-/S2.2m
бесстыдница	S	G2.2-/S2.1f S1.2.4-/S2.1f
бесстыдность	S	G2.2- S1.2.4-
бесстыдный	A	G2.2- S1.2.4- Q2.2/A5.1-
бесстыдство	S	G2.2- S1.2.4-
бесстыжий	A	G2.2- S1.2.4-
бестарный	A	O4.1
бесхозяйственность	S	A5.1-/I2.1
бесхозяйственный	A	A5.1-/I2.1
бесцеремонность	S	S1.2.4- G2.2-/S1.2
бесцеремонный	A	S1.2.4- G2.2-/S1.2
бесчестие	S	G2.2- S7.2- G2.2-/S3.2
бесчестить	V	Q2.2/G2.2- S7.2-
бесчестный	A	G2.2-
бесчестье	S	G2.2- S7.2- G2.2-/S3.2
бетон	S	O1.1
бетонщик	S	I4/I3.2/S2mf
бефстроганов	S	F1
бешамель	S	F1
бешенство	S	B2- E3---
бешмет	S	B5
биатлон	S	K5.1
биатлонист	S	K5.1/S2.2m
биатлонистка	S	K5.1/S2.1f
библиотека	S	Q4.1/H1 Q4.1
библиотекарша	S	Q4.1/I3.2/S2.1f
библиотекарь	S	Q4.1/I3.2/S2mf
бид	S	I2.2
бидон	S	O2 N5
бизеллиум	S	H5
бизнес	S	I2.1
бизнесмен	S	I2.1/S2mf
бикини	S	B5
билет	S	Q1.2 P1
билетер	S	I3.1/S2mf
билетерша	S	I3.1/S2.1f
биллиард	S	K5.2
биллион	S	N1 N5+++
биллионный	A	N1/N4
билль	S	G2.1
бильбоке	S	K6
бильман	S	Z1 K5.1
бильярд	S	K5.2 H2/K5.2
бином	S	N2
бинт	S	O2/B3
биография	S	A3+/T1.3+ Q4.1
биолог	S	Y1/L1/S2mf P1/I3.2/S2mf
биологический	A	Y1/L1 L1 B1
биология	S	Y1/L1 P1 L1
биомицин	S	B3
биопсия	S	B3
биоцикл	S	B1
бипатрид	S	G1.1/S2mf
биржа	S	I2.1/I1/H1
биржевой	A	I2.1/I1
бирюза	S	O1.1 O4.3
бирюзовый	A	O4.3
бисептол	S	B3
бискайский	A	Z2
бисквит	S	F1 O2/O4.1
биссектриса	S	O4.4/N2
бистр	S	O4.3/C1
бит	S	Y2
битва	S	G3 E3-
биток	S	F1 K6
биточек	S	F1
бить	V	E3- A1.1.2 L1- A1.1.1 K5 X3.2 M1
бифуркация	S	B1 Y1
бифштекс	S	F1
бицепс	S	B1
благо	S	A5.1+ G2.2+ E4.2+
благовоние	S	X3.5
благодарить	V	S1.2.4+
благодарность	S	S1.2.4+ S1.1.4+
благодарный	A	S1.1.1 E4.2+
благожелательность	S	S1.2.1+
благожелательный	A	S1.2.1+
благой	A	A5.1+ G2.2+
благополучие	S	E4.1+ I1.1+
благополучный	A	A5.1+ X9.2+ E4.1+
благопристойность	S	S1.2.4+
